"DISEASE.TRAIT"	"risk_count"	"risk_1"	"risk_count_2"	"overall_risk_d * 100"
"1"	"&beta;2-Glycoprotein I (&beta;2-GPI) plasma levels"	4	0	4	100
"2"	"3-month functional outcome in ischaemic stroke (modified Rankin score)"	3	2	1	60
"3"	"Abdominal aortic aneurysm"	1	0	1	100
"4"	"Ability to confide in someone"	1	1	0	50
"5"	"Acne (severe)"	3	1	2	75
"6"	"Activated partial thromboplastin time"	8	4	4	66.6666666666667
"7"	"Acute lymphoblastic leukemia (B-cell precursor)"	2	2	0	50
"8"	"Acute lymphoblastic leukemia (childhood)"	17	11	6	60.7142857142857
"9"	"Acute lymphoblastic leukemia in childhood (B cell precursor)"	1	1	0	50
"10"	"Acylcarnitine levels"	4	2	2	66.6666666666667
"11"	"ADAMTS13 activity"	1	1	0	50
"12"	"Adiponectin levels"	29	16	13	64.4444444444444
"13"	"Adiponectin levels (BMI-adjusted)"	3	1	2	75
"14"	"Adiponectin levels in pregnancy"	2	2	0	50
"15"	"Adiposity"	3	2	1	60
"16"	"Adolescent idiopathic scoliosis"	5	3	2	62.5
"17"	"Adult asthma"	1	0	1	100
"18"	"Adult body size"	44	14	30	75.8620689655173
"19"	"Adult onset asthma or fasting glucose levels"	1	1	0	50
"20"	"Adventurousness"	5	4	1	55.5555555555556
"21"	"Adverse response to chemotherapy (amenorrhea) in breast cancer"	1	1	0	50
"22"	"Adverse response to chemotherapy (neutropenia/leucopenia) (5-fluorouracil)"	1	1	0	50
"23"	"Adverse response to chemotherapy (neutropenia/leucopenia) (all anthracycline-based drugs)"	2	2	0	50
"24"	"Adverse response to chemotherapy (neutropenia/leucopenia) (all antimetabolite drugs)"	1	1	0	50
"25"	"Adverse response to chemotherapy (neutropenia/leucopenia) (all antimicrotubule drugs)"	2	0	2	100
"26"	"Adverse response to chemotherapy (neutropenia/leucopenia) (carboplatin)"	1	1	0	50
"27"	"Adverse response to chemotherapy (neutropenia/leucopenia) (cisplatin)"	2	1	1	66.6666666666667
"28"	"Adverse response to chemotherapy (neutropenia/leucopenia) (cyclophosphamide)"	1	0	1	100
"29"	"Adverse response to chemotherapy (neutropenia/leucopenia) (etoposide)"	1	0	1	100
"30"	"Adverse response to chemotherapy (neutropenia/leucopenia) (paclitaxel + carboplatin)"	1	0	1	100
"31"	"Adverse response to chemotherapy (neutropenia/leucopenia) (paclitaxel)"	1	1	0	50
"32"	"Adverse response to chemotherapy in breast cancer (alopecia) (anti-microtubule)"	1	1	0	50
"33"	"Adverse response to chemotherapy in breast cancer (alopecia) (cyclophosphamide+doxorubicin+/-5FU)"	2	0	2	100
"34"	"Adverse response to chemotherapy in breast cancer (alopecia) (docetaxel)"	1	1	0	50
"35"	"Adverse response to chemotherapy in breast cancer (alopecia) (paclitaxel)"	1	0	1	100
"36"	"Adverse response to drug"	2	2	0	50
"37"	"Age-related cognitive decline (language) (slope of z-scores)"	1	1	0	50
"38"	"Age-related cognitive decline (visuospatial skill) (slope of z-scores)"	1	1	0	50
"39"	"Age-related hearing impairment (high frequency)"	1	1	0	50
"40"	"Age-related macular degeneration"	25	15	10	62.5
"41"	"Age-related macular degeneration (choroidal neovascularisation)"	1	1	0	50
"42"	"Age-related macular degeneration (geographic atrophy)"	1	1	0	50
"43"	"Age-related macular degeneration (MTAG)"	2	0	2	100
"44"	"Age-related nuclear cataracts"	1	1	0	50
"45"	"Age at adiposity rebound"	1	0	1	100
"46"	"Age at first sexual intercourse"	5	2	3	71.4285714285714
"47"	"Age at smoking initiation in chronic obstructive pulmonary disease"	2	0	2	100
"48"	"Age of smoking initiation (MTAG)"	8	5	3	61.5384615384615
"49"	"Aging (time to event)"	2	1	1	66.6666666666667
"50"	"Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)"	6	4	2	60
"51"	"AIDS"	2	2	0	50
"52"	"AIDS progression"	1	1	0	50
"53"	"Airflow obstruction"	4	4	0	50
"54"	"Airway responsiveness in chronic obstructive pulmonary disease"	1	0	1	100
