"MAPPED_TRAIT"	"risk_count"	"risk_1"	"risk_count_2"	"overall_risk * 100"
"1"	"5-HIAA measurement"	2	2	0	50
"2"	"Abdominal Aortic Aneurysm"	1	0	1	100
"3"	"Abelson tyrosine-protein kinase 2 measurement"	1	0	1	100
"4"	"Abnormality of refraction"	13	9	4	59.0909090909091
"5"	"Abruptio Placentae"	2	0	2	100
"6"	"acne"	3	1	2	75
"7"	"acute lymphoblastic leukemia"	17	11	6	60.7142857142857
"8"	"acylcarnitine measurement"	2	0	2	100
"9"	"acylcarnitine measurement, blood metabolite measurement"	4	2	2	66.6666666666667
"10"	"ADAMTS13 activity measurement"	1	1	0	50
"11"	"adhesion molecule measurement, ICAM-1 measurement"	1	0	1	100
"12"	"adhesion molecule measurement, soluble P-selectin measurement"	1	1	0	50
"13"	"adiponectin measurement"	31	18	13	63.265306122449
"14"	"adolescent idiopathic scoliosis"	5	3	2	62.5
"15"	"adult onset asthma"	4	3	1	57.1428571428571
"16"	"adult onset asthma, fasting blood glucose measurement"	1	1	0	50
"17"	"advanced glycosylation end product-specific receptor ligand measurement"	1	1	0	50
"18"	"adverse effect, response to drug"	2	2	0	50
"19"	"age-related hearing impairment"	1	1	0	50
"20"	"age-related macular degeneration"	29	17	12	63.0434782608696
"21"	"age-related macular degeneration, disease progression measurement"	2	1	1	66.6666666666667
"22"	"age-related macular degeneration, wet macular degeneration"	1	0	1	100
"23"	"Age-related nuclear cataract"	1	1	0	50
"24"	"age at first sexual intercourse measurement"	5	2	3	71.4285714285714
"25"	"age at menarche"	102	54	48	65.3846153846154
"26"	"age at menopause"	26	13	13	66.6666666666667
"27"	"age at onset, alcohol dependence"	5	2	3	71.4285714285714
"28"	"age at onset, asthma"	10	7	3	58.8235294117647
"29"	"age at onset, glioblastoma multiforme"	2	2	0	50
"30"	"age at onset, Myopia"	12	5	7	70.5882352941176
"31"	"age at onset, Myopia, refractive error measurement"	19	12	7	61.2903225806452
"32"	"Agents acting on the renin-angiotensin system use measurement"	10	8	2	55.5555555555556
"33"	"aging"	2	1	1	66.6666666666667
"34"	"AIDS"	3	3	0	50
"35"	"airway responsiveness measurement, chronic obstructive pulmonary disease"	1	0	1	100
"36"	"alanine measurement, amino acid measurement"	1	1	0	50
"37"	"albumin:globulin ratio measurement"	1	1	0	50
"38"	"albuminuria"	9	6	3	60
"39"	"alcohol and nicotine codependence"	2	2	0	50
"40"	"alcohol consumption measurement"	51	33	18	60.7142857142857
"41"	"alcohol consumption measurement, alcohol drinking"	2	2	0	50
"42"	"alcohol consumption measurement, high density lipoprotein cholesterol measurement"	30	19	11	61.2244897959184
"43"	"alcohol dependence"	17	6	11	73.9130434782609
"44"	"alcohol dependence measurement"	2	1	1	66.6666666666667
"45"	"alcohol drinking"	4	4	0	50
"46"	"alcohol drinking, fibrinogen measurement"	1	1	0	50
"47"	"alcohol drinking, high density lipoprotein cholesterol measurement"	57	35	22	61.9565217391304
"48"	"alcohol use disorder measurement"	4	3	1	57.1428571428571
"49"	"alcohol use disorder measurement, alcohol consumption measurement"	3	1	2	75
"50"	"alcohol use disorder measurement, alcohol dependence"	3	1	2	75
"51"	"alcohol use disorder measurement, longitudinal alcohol consumption measurement"	3	1	2	75
"52"	"alcoholic liver cirrhosis"	1	1	0	50
"53"	"alkaline phosphatase measurement"	28	15	13	65.1162790697674
"54"	"alkaline phosphatase measurement, liver enzyme measurement"	1	1	0	50
"55"	"alkaline phosphatase measurement, uric acid measurement"	1	0	1	100
"56"	"allergic rhinitis"	3	3	0	50
"57"	"allergic sensitization measurement"	11	5	6	68.75
"58"	"allergy"	32	23	9	58.1818181818182
"59"	"allergy, age at onset"	6	5	1	54.5454545454545
"60"	"Alopecia"	18	11	7	62.0689655172414
"61"	"alopecia areata"	7	6	1	53.8461538461539
"62"	"alpha-linolenic acid measurement"	12	9	3	57.1428571428571
"63"	"Alzheimer's disease"	63	35	28	64.2857142857143
"64"	"Alzheimer's disease, age at onset"	8	2	6	80
"65"	"Alzheimer's disease, amyloid-beta measurement"	1	1	0	50
"66"	"Alzheimer's disease, CCL4 measurement, Alzheimer's disease biomarker measurement"	1	0	1	100
"67"	"Alzheimer's disease, cognitive decline measurement"	15	0	15	100
"68"	"Alzheimer's disease, family history of Alzheimer***s disease"	12	9	3	57.1428571428571
"69"	"Alzheimer's disease, interleukin-6 measurement, Alzheimer's disease biomarker measurement"	1	0	1	100
"70"	"Alzheimer's disease, t-tau measurement"	1	1	0	50
"71"	"amenorrhea, breast carcinoma, response to antineoplastic agent"	1	1	0	50
"72"	"amino acid measurement"	2	2	0	50
"73"	"amyotrophic lateral sclerosis"	11	8	3	57.8947368421053
"74"	"amyotrophic lateral sclerosis, age at onset"	1	1	0	50
"75"	"androgenetic alopecia"	14	8	6	63.6363636363636
"76"	"angiopoietin-1 receptor measurement"	3	3	0	50
"77"	"angiopoietin-1 receptor, soluble measurement"	1	1	0	50
"78"	"angiotensinogen measurement"	1	0	1	100
"79"	"Anilide use measurement"	1	1	0	50
"80"	"ankle brachial index"	1	0	1	100
"81"	"ankle injury"	1	1	0	50
"82"	"ankylosing spondylitis"	37	26	11	58.7301587301587
"83"	"anorexia nervosa"	6	2	4	75
"84"	"anthropometric measurement, waist-hip ratio, sexual dimorphism"	3	3	0	50
"85"	"anti-neutrophil antibody associated vasculitis"	1	1	0	50
"86"	"anti-thyroglobulin antibody measurement"	1	0	1	100
"87"	"antibody measurement"	3	1	2	75
"88"	"antidepressant-induced sexual dysfunction, response to bupropion, response to antidepressant"	1	1	0	50
"89"	"antidepressant-induced side effect, response to citalopram, response to buspirone, response to antidepressant"	1	0	1	100
"90"	"Antiglaucoma preparations and miotics use measurement"	3	2	1	60
"91"	"Antimigraine preparation use measurement"	3	3	0	50
"92"	"antioxidant measurement"	1	0	1	100
"93"	"antiphospholipid syndrome"	1	0	1	100
"94"	"Antithrombotic agent use measurement"	2	2	0	50
"95"	"anxiety"	7	3	4	70
"96"	"anxiety disorder"	1	1	0	50
"97"	"anxiety disorder, cognitive behavioural therapy"	1	1	0	50
"98"	"anxiety measurement"	2	2	0	50
"99"	"aortic root size"	3	3	0	50
"100"	"aortic stenosis"	2	2	0	50
"101"	"aortic stenosis, aortic valve calcification"	1	1	0	50
"102"	"aortic valve calcification"	1	1	0	50
"103"	"apolipoprotein A 1 measurement"	50	21	29	70.4225352112676
"104"	"apolipoprotein B measurement"	46	17	29	73.015873015873
"105"	"appendicular lean mass"	75	36	39	67.5675675675676
"106"	"AR-C124910XX**measurement, acute coronary syndrome"	1	0	1	100
"107"	"arachidonic acid measurement"	5	5	0	50
"108"	"arm span"	1	0	1	100
"109"	"arterial stiffness measurement"	1	0	1	100
"110"	"arylsulfatase B measurement"	1	1	0	50
"111"	"aseptic loosening, total joint arthroplasty"	1	1	0	50
"112"	"asparaginase hypersensitivity, acute lymphoblastic leukemia"	1	1	0	50
"113"	"aspartate aminotransferase measurement"	18	11	7	62.0689655172414
"114"	"Aspirin-induced asthma"	1	1	0	50
"115"	"aspirin hydrolysis measurement"	1	1	0	50
"116"	"aspirin use measurement"	3	3	0	50
"117"	"asthma"	123	59	64	67.5824175824176
"118"	"asthma exacerbation measurement, response to corticosteroid"	3	1	2	75
"119"	"Astigmatism"	11	2	9	84.6153846153846
"120"	"atherosclerosis"	2	2	0	50
"121"	"atopic eczema"	17	10	7	62.962962962963
"122"	"atrial fibrillation"	64	19	45	77.1084337349398
"123"	"atrophic macular degeneration"	1	1	0	50
"124"	"attempted suicide"	1	0	1	100
"125"	"attention deficit hyperactivity disorder"	16	11	5	59.2592592592593
"126"	"attention deficit hyperactivity disorder, attention function measurement"	4	2	2	66.6666666666667
"127"	"attention deficit hyperactivity disorder, bipolar disorder"	1	0	1	100
"128"	"attention deficit hyperactivity disorder, Cannabis use"	5	4	1	55.5555555555556
"129"	"attention deficit hyperactivity disorder, conduct disorder"	7	4	3	63.6363636363636
"130"	"attention deficit hyperactivity disorder, oppositional defiant disorder measurement"	1	0	1	100
"131"	"attention deficit hyperactivity disorder, parental emotion expression measurmement"	1	1	0	50
"132"	"attention deficit hyperactivity disorder, unipolar depression, schizophrenia, autism spectrum disorder, bipolar disorder"	18	10	8	64.2857142857143
"133"	"atypical femoral fracture, response to bisphosphonate"	3	3	0	50
"134"	"autism"	1	1	0	50
"135"	"autism spectrum disorder"	4	2	2	66.6666666666667
"136"	"autism spectrum disorder, self reported educational attainment"	1	0	1	100
"137"	"autoimmune disease"	6	4	2	60
"138"	"autoimmune thyroid disease"	15	10	5	60
"139"	"autoimmune thyroid disease, Hashimoto's thyroiditis, Graves disease"	2	2	0	50
"140"	"autoimmune thyroid disease, type I diabetes mellitus"	2	2	0	50
"141"	"autoimmune thyroid disease, type I diabetes mellitus, Common variable immunodeficiency, ankylosing spondylitis, psoriasis, celiac disease, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis, systemic lupus erythematosus"	6	6	0	50
"142"	"autosomal dominant compelling helio-ophthalmic outburst syndrome"	1	0	1	100
"143"	"axial length measurement"	1	0	1	100
"144"	"azoospermia"	1	1	0	50
"145"	"B-cell acute lymphoblastic leukemia"	6	6	0	50
"146"	"balding measurement"	23	14	9	62.1621621621622
