data,time,sex,age,wings,weigh,ELL,PNW,eggs
18.06.89,1,f,2,1,"186,0","11,7","4,9",0
21.06.89,2,f,1,1,"207,2","10,7","5,0",0
22.06.89,3,m,1,1,"211,4","10,8","4,9",0
23.06.89,1,m,2,1,"167,2","10,1","4,4",0
24.06.89,1,m,2,1,"162,0","10,3","4,3",0
27.06.89,1,f,2,1,"207,2","11,2","5,0",0
27.06.89,1,f,1,1,"180,2","11,2","4,7",0
27.06.89,2,m,2,1,"185,2","10,5","4,6",0
27.06.89,2,m,2,1,"161,2","10,5","4,6",0
29.06.89,1,f,2,1,"118,8","10,6","4,8",0
30.06.89,1,m,3,1,"154,0","9,5","4,3",0
30.06.89,1,f,2,1,"200,6","10,2","4,9",0
01.07.89,1,f,2,1,"208,0","10,7","4,7",0
03.07.89,1,f,3,1,"315,2","11,8","5,2",24
05.07.89,3,m,3,1,"138,7","8,4","3,9",0
06.07.89,3,f,3,1,"273,8","11,2","5,0",15
09.07.89,1,m,3,1,"153,9","10,2","4,7",0
09.07.89,3,m,3,1,"165,2","9,8","4,3",0
10.07.89,1,f,2,1,"249,6","10,0","4,5",0
10.07.89,1,f,3,1,"315,2","11,4","5,1",23
10.07.89,1,f,3,1,"293,5","11,3","5,2",17
10.07.89,1,f,3,1,"323,8","11,8","4,9",21
10.07.89,3,f,3,1,"0,0","11,0","4,9",31
10.07.89,3,f,3,1,"0,0","10,8","5,0",8
11.07.89,1,f,2,1,"180,0","11,3","4,7",0
11.07.89,1,f,2,1,"180,8","11,5","5,1",0
11.07.89,1,f,3,1,"277,4","10,5","4,6",21
11.07.89,1,f,3,1,"323,5","11,5","5,3",18
12.07.89,1,f,3,1,"265,2","11,3","4,9",24
12.07.89,1,m,3,1,"179,3","9,5","4,3",0
12.07.89,3,f,3,1,"294,2","11,3","5,0",26
13.07.89,1,m,2,1,"254,2","10,5","5,0",0
13.07.89,1,m,3,1,"199,0","10,7","4,7",0
14.07.89,1,m,3,1,"200,7","10,3","4,6",0
14.07.89,1,m,3,1,"172,6","9,5","4,3",0
14.07.89,1,m,3,1,"217,0","9,0","4,2",0
14.07.89,2,m,2,1,"173,8","10,4","4,5",0
17.07.89,1,m,2,1,"164,1","10,0","4,5",0
18.07.89,1,f,3,1,"229,9","10,0","4,5",14
19.07.89,1,f,3,1,"205,2","10,9","4,7",12
21.07.89,3,m,3,1,"197,5","10,5","4,5",0
25.07.89,1,m,3,1,"221,8","10,8","4,7",0
25.07.89,3,f,3,1,"309,0","11,1","4,9",9
25.07.89,3,f,3,1,"303,8","11,4","5,1",22
26.07.89,1,f,3,1,"258,1","10,3","4,6",10
27.07.89,3,m,3,1,"199,0","10,6","4,8",0
27.07.89,3,f,3,1,"354,2","11,1","5,2",17
28.07.89,1,m,3,1,"207,0","10,2","4,7",0
28.07.89,2,m,3,1,"168,5","9,5","4,5",0
28.07.89,3,m,3,1,"190,0","9,4","4,5",0
29.07.89,1,m,3,1,"187,7","9,8","4,2",0
29.07.89,2,m,3,1,"195,2","10,3","4,5",0
30.07.89,1,f,3,1,"292,8","10,1","4,4",10
30.07.89,1,f,3,1,"301,0","10,8","4,8",19
01.08.89,1,f,3,1,"360,4","11,4","5,6",21
01.08.89,3,f,3,1,"275,4","9,7","4,9",28
02.08.89,1,m,3,1,"212,9","10,5","5,1",0
02.08.89,3,m,3,1,"206,2","10,5","4,9",0
03.08.89,1,m,3,1,"178,0","9,6","4,6",0
03.08.89,1,m,3,1,"264,9","10,3","5,2",0
03.08.89,1,m,3,1,"182,3","10,2","4,7",0
