order,family,Genus,species,mass(g),gestation (mo),newborn (g)
Artiodactyla,Camelidae,Camelus,dromedarius,434000,12.64,35808.5
Artiodactyla,Cervidae,Alces,alces,351000,7.95,13018.2
Carnivora,Otariidae,Eumetopias,jubatus,288933,8.75,19215
Artiodactyla,Giraffidae,Okapia,johnstoni,287500,14.87,17375
Carnivora,Phocidae,Erignathus,barbatus,286667,8.71,36950
Carnivora,Ursidae,Ursus,maritimus,286367,8.11,634.25
Perissodactyla,Equidae,Equus,burchellii,257000,12.16,32292
Carnivora,Phocidae,Lobodon,carcinophagus,238333,8.50,22333.3
Carnivora,Phocidae,Cystophora,cristata,212000,8.01,15388.9
Carnivora,Ursidae,Ursus,arctos,203500,6.93,494.82
Carnivora,Phocidae,Halichoerus,grypus,186000,7.87,12820
Carnivora,Phocidae,Monachus,schauinslandi,173000,11.00,30675
Carnivora,Felidae,Panthera,leo,139500,3.62,1377.45
Carnivora,Phocidae,Phoca,groenlandica,128787,7.63,8476.92
Artiodactyla,Cervidae,Cervus,elaphus,120333,8.03,8814.09
Carnivora,Felidae,Panthera,tigris,119700,3.51,1248.59
Artiodactyla,Cervidae,Rangifer,tarandus,113200,7.24,5773.67
Carnivora,Ursidae,Ailuropoda,melanoleuca,111600,4.31,109.29
Carnivora,Ursidae,Ursus,americanus,110560,6.75,294.47
Primates,Hominidae,Gorilla,gorilla,101386,8.47,2077.5
Carnivora,Phocidae,Phoca,vitulina,101250,8.35,11083.6
Artiodactyla,Suidae,Sus,scrofa,100900,3.95,1040.31
Artiodactyla,Cervidae,Cervus,nippon,96500,7.59,3734
Carnivora,Phocidae,Phoca,hispida,86140,8.20,5909.09
Carnivora,Otariidae,Zalophus,californianus,84666.7,11.14,6817.14
Carnivora,Phocidae,Phoca,fasciata,82500,9.00,10250
Carnivora,Phocidae,Phoca,sibirica,81666.7,9.00,3000
Carnivora,Felidae,Panthera,onca,81150,3.39,831.89
Carnivora,Otariidae,Neophoca,cinerea,79633.3,11.75,7075
Carnivora,Otariidae,Arctocephalus,pusillus,77666.7,9.17,5955.56
Cetacea,Delphinidae,Delphinus,delphis,76365,9.57,7050
Artiodactyla,Bovidae,Ovis,canadensis,68166.7,5.99,4266.67
Carnivora,Hyaenidae,Crocuta,crocuta,63000,3.45,1353.33
Carnivora,Hyaenidae,Parahyaena,brunnea,60200,3.08,727.28
Tubulidentata,Orycteropodidae,Orycteropus,afer,60000,7.08,1734
Artiodactyla,Cervidae,Odocoileus,virginianus,59500,6.84,3154.67
Carnivora,Felidae,Acinonyx,jubatus,58750,3.35,403.96
Artiodactyla,Bovidae,Kobus,kob,58600,8.38,4937.5
Artiodactyla,Cervidae,Odocoileus,hemionus,55766.7,6.85,2952.67
Rodentia,Hydrochaeridae,Hydrochaeris,hydrochaeris,55000,8.82,1537.5
Artiodactyla,Cervidae,Dama,dama,54500,7.75,4511.17
Artiodactyla,Bovidae,Ovis,aries,50000,5.02,2277.08
Carnivora,Otariidae,Callorhinus,ursinus,49100,8.37,5182.73
Carnivora,Felidae,Puma,concolor,48000,3.07,388.22
Carnivora,Felidae,Uncia,uncia,45625,3.28,463.45
Artiodactyla,Antilocapridae,Antilocapra,americana,45375,8.13,3246.36
Carnivora,Felidae,Panthera,pardus,42325,3.22,363.49
Artiodactyla,Bovidae,Aepyceros,melampus,41480,6.35,5093
Carnivora,Otariidae,Arctocephalus,gazella,40500,9.00,5933.33
Artiodactyla,Bovidae,Saiga,tatarica,38250,4.94,3365.33
Primates,Hominidae,Pan,troglodytes,37618.2,7.36,1669.92
Primates,Hominidae,Pongo,pygmaeus,37115.6,8.67,1671.93
Carnivora,Canidae,Canis,lupus,34875,2.16,418.6
Primates,Hominidae,Pan,paniscus,32733.3,7.75,1411.2
Cetacea,Phocoenidae,Neophocaena,phocaenoides,32500,10.50,7066.67
Carnivora,Otariidae,Arctocephalus,galapagoensis,27000,7.00,3533.33
Artiodactyla,Bovidae,Gazella,subgutturosa,25500,5.37,2426.67
Carnivora,Mustelidae,Enhydra,lutris,21800,7.10,1909.17
Artiodactyla,Tayassuidae,Pecari,tajacu,19200,4.66,657.18
Carnivora,Felidae,Lynx,lynx,18026.7,2.33,269.5
Artiodactyla,Bovidae,Gazella,dorcas,16985,4.74,1500.63
Primates,Cercopithecidae,Papio,hamadryas,14028.6,5.94,836.97
Carnivora,Viverridae,Civettictis,civetta,13666.7,2.31,417
Carnivora,Viverridae,Arctictis,binturong,12250,2.74,316.38
Primates,Cercopithecidae,Theropithecus,gelada,12242.3,5.81,464.5
Primates,Cercopithecidae,Mandrillus,sphinx,11916.7,6.02,751.5
Carnivora,Canidae,Canis,latrans,11800,2.05,249.75
Primates,Cercopithecidae,Semnopithecus,entellus,11253.3,6.30,500
Carnivora,Felidae,Felis,chaus,10000,2.05,126.62
Primates,Cercopithecidae,Macaca,sylvanus,9752.6,5.49,450
Primates,Cercopithecidae,Colobus,guereza,9725.17,5.67,497
Primates,Cercopithecidae,Nasalis,larvatus,9462.6,5.53,452
Rodentia,Erethizontidae,Erethizon,dorsatum,9000,6.78,678.2
Primates,Cercopithecidae,Macaca,fuscata,8857.5,5.72,504.96
Carnivora,Felidae,Leopardus,pardalis,8800,2.64,254.4
Carnivora,Felidae,Lynx,rufus,8600,1.86,301
Primates,Cercopithecidae,Colobus,polykomos,8508,6.26,573.4
Primates,Cebidae,Ateles,paniscus,7758.8,7.39,461.67
Primates,Cercopithecidae,Macaca,arctoides,7307.67,6.00,486.2
Rodentia,Myocastoridae,Myocastor,coypus,7150,4.43,196.36
Primates,Cercopithecidae,Trachypithecus,vetulus,7081.75,6.95,432.33
Primates,Cercopithecidae,Lophocebus,albigena,6725.8,5.97,462.5
Primates,Cebidae,Ateles,geoffroyi,6265.8,7.39,447.5
Carnivora,Mustelidae,Lontra,canadensis,6225,2.01,141
Primates,Cercopithecidae,Macaca,nemestrina,6133.1,5.71,476.24
Carnivora,Mustelidae,Taxidea,taxus,6050,1.83,101.88
Primates,Cercopithecidae,Erythrocebus,patas,5883.4,5.56,546.5
Carnivora,Canidae,Vulpes,vulpes,5662.5,1.73,101.25
Primates,Cebidae,Alouatta,palliata,5659.14,6.22,368.75
Primates,Cercopithecidae,Macaca,mulatta,5413.4,5.47,476.2
Primates,Hylobatidae,Hylobates,lar,5050.56,7.08,325.71
Artiodactyla,Bovidae,Madoqua,kirkii,4876.67,5.77,654
Primates,Cercopithecidae,Cercopithecus,neglectus,4670.17,5.75,305
Lagomorpha,Leporidae,Lepus,othus,4506.33,1.53,102.5
Carnivora,Procyonidae,Procyon,lotor,4400,2.13,76.14
Carnivora,Ursidae,Ailurus,fulgens,4325,4.30,120.17
Carnivora,Canidae,Nyctereutes,procyonoides,4232,2.05,87.92
Carnivora,Canidae,Urocyon,cinereoargenteus,4220,2.14,95.33
Carnivora,Felidae,Felis,silvestris,4150,2.15,101.87
Lagomorpha,Leporidae,Lepus,alleni,3759.67,1.50,118.1
Primates,Cercopithecidae,Macaca,radiata,3735,5.43,391.33
Primates,Cercopithecidae,Chlorocebus,aethiops,3732.64,5.62,337.79
Lagomorpha,Leporidae,Lepus,europaeus,3673.33,1.42,119.67
Rodentia,Pedetidae,Pedetes,capensis,3500,2.53,264.5
Primates,Cercopithecidae,Macaca,fascicularis,3456.29,5.49,407.82
Primates,Lemuridae,Varecia,variegata,3431.43,3.34,91.99
Rodentia,Sciuridae,Marmota,monax,3413,1.09,27.43
Rodentia,Chinchillidae,Lagostomus,maximus,3250,5.14,196
Lagomorpha,Leporidae,Lepus,townsendii,3035.5,1.29,94.32
Lagomorpha,Leporidae,Lepus,timidus,3030.43,1.65,107.93
Rodentia,Sciuridae,Marmota,flaviventris,2930,1.00,33.8
Primates,Daubentoniidae,Daubentonia,madagascariensis,2610.33,5.53,123
Primates,Cebidae,Cebus,capucinus,2602.57,5.70,237.25
Primates,Cebidae,Cebus,apella,2528.5,5.33,225.42
Lagomorpha,Leporidae,Lepus,capensis,2358,1.42,118.4
Lagomorpha,Leporidae,Lepus,californicus,2317,1.43,84.34
Lagomorpha,Leporidae,Sylvilagus,aquaticus,2120.67,1.26,57.67
Carnivora,Mustelidae,Mephitis,mephitis,1821.25,1.63,28.1
Lagomorpha,Leporidae,Oryctolagus,cuniculus,1558.25,1.02,39.61
Lagomorpha,Leporidae,Lepus,americanus,1489.25,1.22,61.03
Carnivora,Mustelidae,Martes,martes,1300,1.73,30
Lagomorpha,Leporidae,Sylvilagus,floridanus,1269,0.90,34.33
Primates,Galagonidae,Otolemur,crassicaudatus,1143.33,4.41,51.21
Rodentia,Muridae,Ondatra,zibethicus,1135.8,0.91,21.92
Primates,Cercopithecidae,Miopithecus,talapoin,1093.33,5.40,187.5
Carnivora,Procyonidae,Bassariscus,astutus,975.5,1.81,28.58
Primates,Loridae,Nycticebus,coucang,966.2,6.34,49.94
