Prey,Predator
8.97,9.852
8.10196413,9.670470989
7.378868459,9.462738767
6.783222502,9.235383381
6.298559206,8.994126937
5.910223772,8.743828734
5.605692303,8.488543803
5.374606272,8.231612872
5.208655108,7.975762936
5.10139268,7.723206143
5.048038931,7.475730694
5.045294618,7.234781143
5.091182409,7.001527726
5.184918899,6.776925453
5.326817199,6.561764267
5.518217114,6.356711736
5.761438412,6.162349708
6.059751752,5.979206296
6.417360867,5.807784402
6.839388437,5.648587864
7.331856337,5.502146232
7.901648574,5.369039049
8.556441941,5.249920491
9.304585119,5.145545119
10.15490156,5.056795475
11.11638501,4.984712137
12.19774914,4.930526697
13.40678524,4.895697836
14.74947547,4.881950149
16.22880584,4.89131448
17.84322764,4.926167035
19.5847329,4.989262177
21.43654956,5.08375012
23.37053428,5.213165391
25.34446158,5.381364422
27.29958618,5.5923812
29.15909411,5.850159457
30.82833251,6.158111917
32.19794356,6.518458334
33.15107622,6.931316374
33.57547703,7.393578258
33.38020966,7.897714413
32.51490652,8.43079701
30.98714967,8.974182709
28.87185983,9.50433046
26.30703462,9.99502903
23.47394399,10.42082488
20.56610499,10.7608385
17.75670571,11.00180262
15.17489639,11.1393648
12.89673379,11.17741281
10.94977151,11.12595762
9.325665958,10.9984897
7.99454569,10.80960543
6.91702019,10.57331611
6.052339056,10.30208846
5.362982235,10.00646214
4.816669285,9.695037997
4.38679831,9.374662324
4.052074489,9.050688338
3.795808511,8.727246624
3.605150335,8.407491182
3.470385517,8.093808772
3.384342629,7.787990335
3.341920178,7.491368259
3.339723513,7.204924999
3.375796144,6.929378599
3.449429405,6.665250106
3.561036269,6.412917011
3.712077653,6.172656098
3.905031942,5.944678387
4.143400383,5.729158307
4.431742299,5.526258844
4.775734684,5.336154064
5.182250555,5.159050238
5.659449367,4.995206654
6.216870602,4.844957141
6.865518074,4.708733344
7.617917139,4.587090863
8.488119358,4.480739475
9.491618656,4.390578842
10.645129,4.317741324
11.96615554,4.263643713
13.47226858,4.230049899
15.17996381,4.219146461
17.10296394,4.233632785
19.24979296,4.27682614
21.62044378,4.352779456
24.2019829,4.466404245
26.96302341,4.623581387
29.84719971,4.831225698
32.7661607,5.097243339
35.59323875,5.430281344
38.15989476,5.839117454
40.25820562,6.33148836
41.65367596,6.91214209
42.11262506,7.579999752
41.44582312,8.324631944
39.56339426,9.122875052
36.52555779,9.937211596
32.56450235,10.71797795
28.05469429,11.41064923
23.43009179,11.96694718
19.07896174,12.3555609
15.26419728,12.56755694
12.10021101,12.6144336
9.580857448,12.52099525
7.629102011,12.31721127
6.141601204,12.03212251
5.016905863,11.69063205
4.168394799,11.31255127
3.52749339,10.91290994
3.042199737,10.50276761
2.67402249,10.09009857
2.394838098,9.680567288
2.184233299,9.278144461
2.027446743,8.885572263
1.913846622,8.504706536
1.835833611,8.136765207
1.788062726,7.782507816
1.766897908,7.44236538
1.770034709,7.116534758
1.796244674,6.805047748
1.845208897,6.507822189
1.917418471,6.224700265
2.014126853,5.955477703
2.137344395,5.699926526
2.289869,5.457813325
2.475349549,5.228914483
2.698380563,5.013029496
2.9646279,4.809993277
3.280985954,4.619688251
3.655766989,4.442056944
4.09892269,4.277115817
4.622296464,4.124971142
5.239902135,3.98583786
5.968219791,3.860062577
6.826491759,3.748152158
7.836989797,3.650809839
9.025206835,3.568981333
10.41990079,3.503914263
12.05288117,3.457235296
13.95837809,3.431050685
16.17176451,3.428077649
18.72731349,3.451815753
21.65456443,3.506769155
24.97275537,3.598730904
28.68268136,3.735137556
32.75532649,3.925491514
37.11682077,4.1818212
41.62993317,4.519090137
46.0738209,4.955351189
50.12664955,5.51124174
53.36043679,6.208115147
55.26365753,7.06377182
55.31173856,8.084685159
53.10032393,9.254517433
48.52781285,10.52158248
41.95609671,11.79277799
34.22367416,12.94476094
26.41870723,13.85694372
19.49163341,14.45270707
13.95687158,14.72167989
9.86675095,14.70884535
6.992429849,14.48425545
5.024284975,14.11654877
3.686974879,13.66037932
2.774370192,13.15464683
2.144537709,12.62537991
1.703495177,12.08941704
1.389902616,11.557438
1.16374532,11.03611037
0.9987337535,10.52951299
0,10.04005429
0,9.538051579
0,9.061149
0,8.60809155
0,8.177686973
0,7.768802624
0,7.380362493
0,7.011344368
0,6.66077715
0,6.327738292
0,6.011351378
0,5.710783809
0,5.425244618
0,5.153982388
0,4.896283268
0,4.651469105
0,4.41889565
0,4.197950867
0,3.988053324
0,3.788650658
0,3.599218125
0,3.419257218
0,3.248294357
0,3.08587964
0,2.931585658
0,2.785006375
0,2.645756056
0,2.513468253
0,2.387794841
0,2.268405099
0,2.154984844
0,2.047235601
0,1.944873821
0,1.84763013
0,1.755248624
0,1.667486193
0,1.584111883
0,1.504906289
0,1.429660974
0,1.358177926
0,1.290269029
0,1.225755578
0,1.164467799
0,1.106244409
0,1.050932189
0,0.9983855792
0,0
