Cancer1,Cancer2,Cancer3,Cancer4,Cancer5,Normal1,Normal2,Normal3,Normal4,Normal5
3659,2257,5009,1053,2786,1395,6760,1353,1200,513
188,0,13,1,17,8,3,2,2,0
981,644,2731,1817,1443,1031,2070,842,909,585
456,538,919,598,680,541,1110,417,373,304
158,212,321,339,242,135,202,106,70,77
1645,616,2299,902,1458,3245,4876,2699,2123,3081
4056,1478,9368,1073,5864,9854,7059,3892,1801,1650
1468,1798,3812,1633,1481,1898,2671,1312,1053,1076
815,1995,2704,13025,1352,970,3160,776,619,714
1818,2303,2496,1359,1392,1256,1869,751,705,679
405,355,906,257,625,709,2691,401,518,191
1184,946,2690,1488,2140,3725,5953,3142,2435,1444
1783,1472,2870,1006,2044,1618,3490,1094,1176,728
1037,992,5930,5027,2100,2270,5992,3103,1844,1272
1486,2149,3248,1071,1165,3233,5084,1895,1163,537
538,302,5294,247,3526,1148,1631,1926,1513,1458
3415,2413,3396,1868,2452,2279,3634,2043,1651,1054
126,89,210,87,85,125,214,139,173,74
182,242,511,158,183,205,500,160,206,103
157,804,1095,125,224,333,793,227,302,151
33,8,11,10,4,4,19,4,3,4
406,455,1148,277,335,495,811,186,191,190
4956,1390,6994,3918,7787,5936,9344,3594,4591,5191
10519,22058,13025,3635,11112,9799,10420,5564,3614,3536
0,0,0,0,0,0,0,0,0,0
1856,508,1294,1263,659,247,2293,287,303,72
54,7440,570,929,1505,65,40,22,19,38
2,75,13,586,4,2,35,12,6,0
77,37,212,311,59,67,20,30,21,18
36,20,61,12,37,36,39,34,29,29
11651,7543,15435,7713,12786,16189,16864,7114,5456,5386
977,808,2425,921,1233,1586,2080,819,754,569
3200,13912,3306,1393,2966,4043,2256,688,488,1310
3459,2780,5214,2200,3460,4486,5191,2938,2147,2298
86,37,124,66,50,141,909,91,77,42
571,60,131,222,269,902,2203,102,70,91
939,4347,2996,1823,2231,914,1555,890,741,563
925,1461,2335,1079,422,640,737,194,250,159
629,1535,1691,2378,1461,1374,2927,1172,1154,674
1336,746,3032,2014,3004,2401,2627,1471,1228,951
6289,3177,8210,5772,9064,9097,24086,11465,12909,6552
12496,5673,32294,984,11752,8394,17252,11464,10952,2825
297,611,835,640,552,360,686,357,345,215
1133,2470,3563,2106,1795,2647,6514,1588,2250,1500
40,5479,138,39,113,64,189,73,79,45
1841,25623,1579,1255,4113,1646,8732,1731,2892,626
3737,3444,5903,1853,3184,3689,4547,1511,1612,1462
116,429,444,241,191,326,558,205,211,128
4459,6710,9702,3659,4875,4005,5189,2405,2358,1655
5709,5757,9311,6277,9294,17919,20232,10915,8342,5348
4075,4486,8229,6933,7968,4816,6578,3093,3088,2188
693,89,789,1732,1636,772,3514,359,456,1515
3632,4874,3220,1269,3084,2110,4183,1240,1469,736
2384,3108,3744,2191,4446,2902,5416,2038,1892,1277
1316,4442,4415,2552,1908,2513,6616,2088,2825,1714
298,1333,1561,479,597,641,1040,344,375,298
794,554,910,527,1004,1090,1287,906,617,496
883,762,1059,915,882,1053,1945,795,825,504
218,47,155,40,84,698,756,235,90,77
94,562,474,413,117,134,564,62,125,74
2507,1396,5871,1187,1936,1230,2999,739,791,729
4374,3513,770,747,6625,3852,19216,35668,26122,5423
4,2,44,3,14,4,2,7,7,3
41,35,119,91,84,276,11092,295,771,167
1,9,2,3,5,8,261,6,9,5
43,272,143,3,93,10,539,15,32,12
