,NG_1,NG_2,NG_3,NG_4,NG_5,NG_6,NG_7,NG_8,NG_9,NZ_1,NZ_10,NZ_11,NZ_12,NZ_13,NZ_14,NZ_15,NZ_16,NZ_17,NZ_18,NZ_19,NZ_2,NZ_20,NZ_21,NZ_22,NZ_23,NZ_24,NZ_25,NZ_3,NZ_4,NZ_5,NZ_6,NZ_7,NZ_8,NZ_9,XZ_1,XZ_10,XZ_11,XZ_12,XZ_13,XZ_14,XZ_15,XZ_16,XZ_17,XZ_18,XZ_19,XZ_2,XZ_20,XZ_21,XZ_22,XZ_23,XZ_24,XZ_25,XZ_3,XZ_4,XZ_5,XZ_6,XZ_7,XZ_8,XZ_9,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV1,0.002905486242,0.005164066703,0.009325525916,0.004053694843,0.005027820607,0.0026836632,0.001879825445,0.0004987531172,0.0009210416143,0.4509157252,0.8472860473,0.2244665967,0.304088761,0.9393700373,0.4571180744,0.9246644863,0.01156178923,0.1750939345,0.2121561285,0.6919798858,0.2119369992,0.9092074199,0.8309956312,0.7903235824,0.1898007034,0.06318006318,0.7898971323,0.3174483106,0.321686852,0.04730463097,0.8931605877,0.2742729306,0.07563364637,0.04873839073,0.001222027037,0.0006453926138,0.006914090439,0.003167062549,0.0007185055085,0.00104416832,0.01251402918,0.00515633571,0.006198760248,0.01562010239,0.00713041585,0.001084236864,0.01292138058,0.0005207730587,0.000830852316,0,0.03883866038,0.0004493228063,0.001105053779,0.0007268402273,0.00199044586,0.001822503962,0,0.0006206843044,0.0007697241822,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA
ASV2,0,0.001291016676,0,0,0,0,0,0,0,0.0894674058,0.01824841825,0.09583770549,0.08670638997,0.003943839722,0.0326358018,0.008571106349,0.1681829669,0.07203435319,0.02981420135,0.01380721043,0.05975407571,0.03069139966,0.0212692573,0.008011924725,0.01781946073,0.0577980578,0.02430894776,0.04773911582,0.0135924022,0.07299204052,0.01074965967,0.09090231171,0.1456124407,0.103147859,0,0,0.001112612255,0.0007197869431,0,0.002036128224,0.0006172839506,0.001755348327,0.00124975005,0,0.001959503592,0.002001668057,0.001148567162,0.002256683254,0,0,0,0,0.0006630322676,0,0,0.0009508716323,0.001080541933,0.001474125223,0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,NA,NA,NA
ASV3,0.009912835413,0.002582033351,0.0100484349,0.007841573631,0.008781926661,0.0013418316,0.01664988251,0.007813798836,0.006531022356,0,0,0,0,0,0,0,0,0,0.0008641797494,0,0.0006217187068,0,0,0,0,0.008073008073,0,0.001008572869,0.001829746449,0.0005426917511,0.0007510679247,0.0009694258016,0,0,0.002749560834,0.03019003227,0.03520623063,0.03361405024,0.027782213,0.008301138143,0.04343434343,0.03713658804,0.03424315137,0.03317312715,0.03984323971,0.001501251043,0.04611497157,0.007348686495,0.0138475386,0.01502890173,0.07525786324,0.0120675268,0.04479151319,0.07103211312,0.0496616242,0.008399366086,0.01429640096,0.01241368609,0.007184092367,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,NA
ASV4,0.0157238079,0.008284023669,0.01619316128,0.009237107921,0.02795468258,0.0273957285,0.02873447466,0.02477140482,0.03617181613,0.002455968002,0,0,0,0.0003680917074,0,0,0,0,0,0,0.002763194253,0.0008094435076,0.000919751667,0.001925346252,0.002696365768,0.01485901486,0,0.002101193478,0,0.00244211288,0.001173543632,0.002087994034,0.002019590023,0,0.02795386848,0.02115453568,0.02582849877,0.02339307565,0.02546702858,0.02897567088,0.01924803591,0.02078990675,0.0175964807,0.02215024553,0.01954060527,0.0210175146,0.02038706713,0.03037842842,0.022779201,0.02478323699,0.01744556221,0.02882084858,0.02040665979,0.01645301969,0.02826433121,0.02424722662,0.03067076718,0.03126697184,0.02309172547,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,NA
ASV5,0.002820030764,0.00580957504,0.02269934215,0.005515683147,0.001005564121,0.0048082299,0.005975159449,0,0,0.04224264964,0.007525807526,0.06164742917,0.039928772,0.002997318189,0.02114279519,0.003608886884,0.07771038666,0.03993558776,0.01814777474,0.01031279298,0.0300497375,0.005328836425,0.001322143021,0.004285448109,0.0121922626,0.04235404235,0.0151140739,0.02521432173,0.01237257123,0.04214905933,0.006431019105,0.04958985831,0.08300514995,0.06147776773,0,0.0009322337755,0.002304696813,0.001799467358,0.001437011017,0.001670669312,0.001178451178,0.001042238069,0.000899820036,0.001306028628,0.0009797517962,0.005337781485,0.0007465686556,0.002488137947,0.00138475386,0.002528901734,0.001018718961,0.001283779447,0,0,0,0,0.002410439697,0.001629296299,0.001603592046,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,NA
ASV6,0,0.0004303388919,0,0,0,0,0,0,0,0.02168268893,0.02131202131,0.0278069255,0.03479213752,0.00136719777,0.05215222813,0.00439833089,0.0140257771,0.09758454106,0.06538960104,0.03690445751,0.03861563968,0.002360876897,0.002414348126,0.0116762934,0.03751465416,0.04270504271,0.01379231079,0.08001344764,0.1415003921,0.0233357453,0.00399004835,0.00797912006,0.03907906695,0.04027286924,0,0,0.00182786299,0,0,0.0009397514879,0.00101010101,0,0.000699860028,0.0007836171769,0.001143043762,0,0,0,0,0,0,0,0,0.0007268402273,0,0,0,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,NA
ASV7,0.000854554777,0.00182894029,0.001807272464,0.001329080276,0,0.0006709158001,0.001007049345,0.002161263508,0.001674621117,0.03578696232,0.007725607726,0.04608254634,0.06396822135,0.008308355682,0.02266073946,0.004285553175,0.1053196866,0.02780461621,0.01238657641,0.008693428791,0.03281293175,0.002225969646,0.001667049897,0.002608533631,0.00633059789,0.02527202527,0.01235561175,0.03420742982,0.004966454648,0.03608900145,0.005069708492,0.05585384042,0.04018984146,0.05350538341,0.003360574353,0,0,0,0,0.000469875744,0,0.0005485463522,0.000299940012,0,0.0002721532767,0.005170975813,0,0.002198819581,0.000415426158,0.0005780346821,0,0,0.005083247385,0.002180520682,0.002587579618,0.001980982567,0.0005818302718,0.0003879276903,0.0003207184092,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Orbaceae,Gilliamella,NA
ASV8,0.001025465732,0.004626143088,0.00303621774,0.00451887294,0.0007374136891,0,0,0,0,0.03936565855,0.006726606727,0.05167890871,0.04629819875,0.009465215334,0.02146806896,0.004567497463,0.09299974728,0.03488996243,0.00979403716,0.005795619194,0.03343465046,0.00323777403,0.002069441251,0.00223588597,0.006916764361,0.02796302796,0.01528647779,0.03034123382,0.006970462664,0.04685238784,0.006290193869,0.05376584638,0.05099464809,0.0461083258,0,0,0,0,0,0,0,0,0.000649870026,0,0,0.002585487907,0,0.002083092235,0,0,0,0,0.00677766318,0,0,0,0,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Bartonella,apis
ASV9,0.001452743121,0.001613770845,0.002096436059,0.001661350346,0,0.0024600246,0.001477005707,0.002327514547,0.002344469564,0.04652305101,0.007459207459,0.03899965023,0.0452023834,0.00289214913,0.0198417001,0.004285553175,0.0831437958,0.02941492217,0.01411493591,0.007755902156,0.03474716773,0.003507588533,0.002011956772,0.004161232222,0.009144196952,0.02187902188,0.01097638067,0.02555051269,0.01577067178,0.03536541245,0.006008543398,0.0442207308,0.0692719378,0.04717678968,0.002214924005,0,0.0003973615195,0,0,0,0,0.000493691717,0.000949810038,0,0,0.003753127606,0,0.00144659183,0,0,0,0,0.00640931192,0.00138760407,0.001592356688,0.00206022187,0.0007480674923,0,0,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,asteroides
ASV10,0.006238249872,0.003335126412,0.004698908407,0.003322700691,0.006368572769,0.008386447501,0.008257804632,0.005735660848,0.003851628569,0.001894603887,0,0,0,0,0,0,0,0,0.003024629123,0,0.002279635258,0.001011804384,0.0008047827087,0,0.004923798359,0.006084006084,0,0.003445957304,0.003485231332,0.003165701881,0,0.002759134974,0,0,0.007714045673,0.023951237,0.02074227132,0.02490462823,0.01836180744,0.009501931711,0.01964085297,0.01876028524,0.01789642072,0.02152335179,0.02095580231,0.003419516264,0.01786021938,0.01029973383,0.01917884096,0.02565028902,0.01649051318,0.02015533731,0.01370266686,0.02226774151,0.01970541401,0.009270998415,0.01828609426,0.009155093491,0.007248236049,Bacteria,Chloroflexi,KD4-96,NA,NA,NA,NA
