"Mutant","Repetition","ProteinContent"
"Naz","rep1",22.5
"Naz","rep2",21.4
"Naz","rep3",23.6
"Naz","rep4",21.2
"Naz","rep5",21.5
"Naz","rep6",20.9
"M6-21","rep1",24.6
"M6-21","rep2",25.4
"M6-21","rep3",24.3
"M6-21","rep4",23.7
"M6-21","rep5",22.9
"M6-21","rep6",24.1
"M6-37","rep1",21.5
"M6-37","rep2",20.2
"M6-37","rep3",19.3
"M6-37","rep4",20.5
"M6-37","rep5",20.7
"M6-37","rep6",19.9
"M6-92","rep1",25.7
"M6-92","rep2",26.2
"M6-92","rep3",24.9
"M6-92","rep4",25.3
"M6-92","rep5",25
"M6-92","rep6",24.8
"M6-125","rep1",22.4
"M6-125","rep2",21.2
"M6-125","rep3",20.9
"M6-125","rep4",22.5
"M6-125","rep5",22
"M6-125","rep6",21.6
"M6-482","rep1",19.6
"M6-482","rep2",19.8
"M6-482","rep3",18.7
"M6-482","rep4",20.4
"M6-482","rep5",20.5
"M6-482","rep6",19.8
