# This file was produced by bcftools (1.21+htslib-1.21), the command line was:
# 	 bcftools gtcheck  -g ground_truth.vcf.gz imputed_samples_chr1.vcf.gz
# and the working directory was:
# 	 /content
#
INFO	Time required to process one record .. 0.000012 seconds
INFO	sites-compared	54220
INFO	sites-skipped-no-match	97644
INFO	sites-skipped-multiallelic	0
INFO	sites-skipped-monoallelic	0
INFO	sites-skipped-no-data	0
INFO	sites-skipped-GT-not-diploid	0
INFO	sites-skipped-PL-not-diploid	0
INFO	sites-skipped-filtering-expression	0
INFO	sites-used-PL-vs-PL	0
INFO	sites-used-PL-vs-GT	0
INFO	sites-used-GT-vs-PL	0
INFO	sites-used-GT-vs-GT	54220
# DCv2, discordance version 2:
#     - Query sample
#     - Genotyped sample
#     - Discordance, given either as an abstract score or number of mismatches, see the options -E/-u
#       in man page for details. Note that samples with high missingness have fewer sites compared,
#       which results in lower overall discordance. Therefore it is advisable to use the average score
#       per site rather than the absolute value, i.e. divide the value by the number of sites compared
#       (smaller value = better match)
#     - Average negative log of HWE probability at matching sites, attempts to quantify the following
#       intuition: rare genotype matches are more informative than common genotype matches, hence two
#       samples with similar discordance can be further stratified by the HWE score (bigger value = better
#       match, the observed concordance was less likely to occur by chance)
#     - Number of sites compared for this pair of samples (bigger = more informative)
#     - Number of matching genotypes
#DCv2	[2]Query Sample	[3]Genotyped Sample	[4]Discordance	[5]Average -log P(HWE)	[6]Number of sites compared	[7]Number of matching genotypes
DCv2	EGAN00001060849	EGAN00001060849	6.355135e+02	1.371852e-01	54220	54151
DCv2	EGAN00001060849	EGAN00001060184	5.622913e+04	3.907153e-02	54220	48720
DCv2	EGAN00001060849	EGAN00001060185	5.364102e+04	4.781371e-02	54220	48949
DCv2	EGAN00001060849	EGAN00001060850	5.308840e+04	4.395425e-02	54220	48971
DCv2	EGAN00001060849	EGAN00001060187	4.095838e+04	5.824279e-02	54220	50010
DCv2	EGAN00001060849	EGAN00001061072	4.837271e+04	4.875914e-02	54220	49768
DCv2	EGAN00001060849	EGAN00001060190	5.267394e+04	5.452548e-02	54220	49132
DCv2	EGAN00001060849	EGAN00001060852	5.190948e+04	4.223769e-02	54220	48990
DCv2	EGAN00001060849	EGAN00001060194	4.529645e+04	5.197073e-02	54220	49566
DCv2	EGAN00001060849	EGAN00001060197	4.991083e+04	4.701610e-02	54220	49318
DCv2	EGAN00001060184	EGAN00001060849	5.632123e+04	3.933541e-02	54220	48712
DCv2	EGAN00001060184	EGAN00001060184	7.091962e+02	1.399885e-01	54220	54143
DCv2	EGAN00001060184	EGAN00001060185	5.283051e+04	4.950644e-02	54220	49232
DCv2	EGAN00001060184	EGAN00001060850	5.354892e+04	4.323204e-02	54220	49100
DCv2	EGAN00001060184	EGAN00001060187	4.561882e+04	4.772631e-02	54220	49573
DCv2	EGAN00001060184	EGAN00001061072	5.528046e+04	4.336541e-02	54220	49677
DCv2	EGAN00001060184	EGAN00001060190	5.797909e+04	4.419833e-02	54220	48589
DCv2	EGAN00001060184	EGAN00001060852	4.590434e+04	5.242713e-02	54220	49663
