Species	Accesion	Order	Family	Genus	animal	BiogeographicRange	ResearchEffort	DietBreadth	HabitatBreadth	GenerationLength	GenerationLengthFULL	MaxLongevity	Insularity	Urban	UrbanFULL	TOTALINNOVATIONS2021	TOTINNOonly2021	TotalInnovations2020	TotalFoodTypeInnovations2020	TotalTechnicalInnovations2020	TotInno2021_no0	FoodInno2020_no0	TechInno2020_no0	InnovationYesOrNo	FoodTypeInnovationYesOrNo	TechnicalInnovationYesOrNo	IUCNStatus2019	StatusCode	PopulationTrend2019	TrendCode	HabitatDestruction	Overexploitation	InvasiveSpecies	CriterionB	TotInno_ResEff2021	TotInno_ResEff2021_no0	FoodInno_ResEff2020	FoodInno2020_Eff_no0	TechInno_ResEff2020	TechInno2020_Eff_no0	Brain_size	Relative_brain_size	Beak_length.Culmen	Beak_length.Nares	Beak_width	Beak_depth	Tarsus_length	Wing_length	Kipps_distance	Secondary1	Hand-Wing_index	Tail_length	Mass	Habitat	Habitat_density	Migration	Trophic_level	Trophic_niche	Primary_lifestyle	Range_size
Acanthisitta_chloris	GCA_016904835.1	PASSERIFORMES	ACANTHISITTIDAE	Acanthisitta	Acanthisitta_chloris	Australasia	16	2	2.991903891	3.5	1.890638142	6.563452551	1.0	1.0	1	1	1.0	1	1.0	0.0	1.0	1.0		1	1	0	Least-Concern	1.0	decreasing	1.0	0.0	0.0	0.0	NO	0.262686156	-0.552576965	0.447	-0.316709542	-0.196		0.349	-0.19	12.1	6.3	2.4	2.2	18.0	46.0	6.2	38.1	13.9	23.5	6.91	Forest	1.0	1.0	Carnivore	Invertivore	Insessorial	152503.84
Aquila_chrysaetos	GCF_900496995.4	ACCIPITRIFORMES	ACCIPITRIDAE	Aquila	Aquila_chrysaetos	several	1145	2	5.726648352	17.3	16.25526957	40.55924429	0.0	0.0	0	19	19.0	19	13.0	6.0	19.0	13.0	6.0	1	1	1	Least-Concern	1.0	stable	2.0	1.0	1.0	1.0	NO	1.898322604	1.769548421	1.946	1.526221143	1.373	0.778762711	17.393	0.115	56.8	37.0	18.5	28.4	101.4	603.1	221.2	381.9	36.7	307.1	4247.97	Grassland	3.0	2.0	Carnivore	Vertivore	Aerial	39450257.98
Bucorvus_abyssinicus	GCA_009769605.1	BUCEROTIFORMES	BUCEROTIDAE	Bucorvus	Bucorvus_abyssinicus	Africa	14	4	3.058057515	29.8	19.29235407	70.0	0.0	0.0	0	0		0	0.0	0.0				0	0	0	Vulnerable	3.0	decreasing	1.0	1.0	1.0	0.0	NO	-0.410636525		-0.233		-0.185		23.75	0.46	256.5	189.8	31.4	56.3	145.6	556.0	114.1	441.9	20.6	337.8	4000.0	Grassland	3.0	1.0	Carnivore	Omnivore	Terrestrial	4482170.58
Cariama_cristata	GCA_009819825.1	CARIAMIFORMES	CARIAMIDAE	Cariama	Cariama_cristata	South-America	21	4	1.632946379	6.7	7.575596883	19.36806488	0.0	0.0	0	0		0	0.0	0.0				0	0	0	Least-Concern	1.0	stable	2.0	0.0	0.0	0.0	NO	-0.471298389		-0.273		-0.219		11.284	0.305	65.9	37.6	14.9	18.3	205.8	357.1	38.2	320.3	10.7	296.4	1400.0	Shrubland	2.0	1.0	Carnivore	Invertivore	Terrestrial	5932013.38
Catharus_ustulatus	GCF_009819885.2	PASSERIFORMES	TURDIDAE	Catharus	Catharus_ustulatus	several	137	2	3.657187778	4.3	2.471010853	11.0	0.0	1.0	1	3	3.0	3	2.0	1.0	3.0	2.0	1.0	1	1	1	Least-Concern	1.0	unknown		0.0	0.0	0.0	NO	0.624159811	0.236558807	0.63	0.017377791	0.31	-0.634136866	0.821	-0.164	16.6	9.5	4.4	4.1	29.6	96.8	29.7	67.2	30.6	67.1	30.3	Forest	1.0	3.0	Omnivore	Invertivore	Insessorial	489246.29
Chiroxiphia_lanceolata	GCF_009829145.1	PASSERIFORMES	PIPRIDAE	Chiroxiphia	Chiroxiphia_lanceolata	several	11	2	2.615622583	4.4	2.843241951	9.5959867	0.0	0.0	0	0		0	0.0	0.0				0	0	0	Least-Concern	1.0	stable	2.0	0.0	0.0	0.0	NO	-0.37529298		-0.209		-0.165				12.2	6.6	4.1	4.2	18.1	70.2	7.8	62.4	11.1	48.7	18.5	Woodland	1.0	1.0	Herbivore	Frugivore	Insessorial	420162.32
Corvus_moneduloides	GCF_009650955.1	"	Passeriformes"	Corvidae	Corvus	Corvus_moneduloides	Australasia	34	5	3.247295067		5.705631996	15.19800041			0	7	7.0	7	0.0	7.0	7.0		7.0	1	0	1									1.534602125	1.286609482	-0.323		1.819	1.55731614	7.227	0.768	43.5	28.4	11.9	17.1	47.1	238.1	54.7	183.4	23.0	164.6	277.38	Woodland	2.0	1.0	Omnivore	Omnivore	Generalist	16389.59
Diglossa_brunneiventris	GCA_019023105.1	PASSERIFORMES	THRAUPIDAE	Diglossa	Diglossa_brunneiventris	South-America	2	2	2.277291571	3.7	2.422728589	7.863532656	0.0	0.0	0	0		0	0.0	0.0				0	0	0	Least-Concern	1.0	stable	2.0	0.0	0.0	0.0	NO	-0.155718825		-0.062		-0.041				13.4	7.9	2.4	4.0	21.4	64.9	11.9	53.1	18.3	57.6	12.0	Shrubland	2.0	1.0	Omnivore	Nectarivore	Insessorial	317862.93
Erithacus_rubecula	GCA_903797595.2	PASSERIFORMES	MUSCICAPIDAE	Erithacus	Erithacus_rubecula	several	622	4	6.429223744	6.0	3.601223214	19.3	0.0	1.0	1	10	10.0	8	6.0	2.0	10.0	6.0	2.0	1	1	1	Least-Concern	1.0	increasing	3.0	0.0	0.0	0.0	NO	1.397021707	1.21777003	1.317	0.857538356	0.581	-0.210764066	0.644	-0.105	14.0	7.0	2.9	3.3	24.5	71.6	14.2	57.3	19.9	56.9	17.7	Forest	1.0	3.0	Carnivore	Omnivore	Generalist	10001378.73
Falco_naumanni	GCF_017639655.2	FALCONIFORMES	FALCONIDAE	Falco	Falco_naumanni	several	347	1	4.76545268	5.7	2.996853971	10.92	0.0	1.0	1	1	1.0	1	0.0	1.0	1.0		1.0	1	0	1	Least-Concern	1.0	stable	2.0	1.0	1.0	0.0	NO	-0.215489336	-0.998750911	-0.567		0.227	-0.799683655	2.745	0.138	19.8	13.0	9.5	11.0	29.9	229.3	123.4	105.7	53.9	132.4	152.06	Grassland	3.0	3.0	Carnivore	Invertivore	Generalist	9560575.62
