# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	103	1440	+					dnaA		DAUD_RS00005	1338		old_locus_tag=Daud_0001
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	103	1440	+	WP_012301164.1	WP_012301164.1		chromosomal replication initiator protein DnaA	dnaA		DAUD_RS00005	1338	445	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1579	2748	+					dnaN		DAUD_RS00010	1170		old_locus_tag=Daud_0002
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1579	2748	+	WP_012301165.1	WP_012301165.1		DNA polymerase III subunit beta	dnaN		DAUD_RS00010	1170	389	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2761	3843	+							DAUD_RS00015	1083		old_locus_tag=Daud_0003
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2761	3843	+	WP_012301166.1	WP_012301166.1		DNA replication/repair protein RecF			DAUD_RS00015	1083	360	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	3847	4107	+							DAUD_RS00020	261		old_locus_tag=Daud_0004
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	3847	4107	+	WP_012301167.1	WP_012301167.1		DUF370 domain-containing protein			DAUD_RS00020	261	86	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	4195	6102	+					gyrB		DAUD_RS00025	1908		old_locus_tag=Daud_0005
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	4195	6102	+	WP_012301168.1	WP_012301168.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		DAUD_RS00025	1908	635	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	6137	6688	+					pyrE		DAUD_RS00030	552		old_locus_tag=Daud_0006
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	6137	6688	+	WP_041570976.1	WP_041570976.1		orotate phosphoribosyltransferase	pyrE		DAUD_RS00030	552	183	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	7024	7293	+							DAUD_RS00035	270		old_locus_tag=Daud_0007
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	7024	7293	+	WP_012301170.1	WP_012301170.1		hypothetical protein			DAUD_RS00035	270	89	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	7452	9890	+					gyrA		DAUD_RS00040	2439		old_locus_tag=Daud_0008
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	7452	9890	+	WP_012301171.1	WP_012301171.1		DNA gyrase subunit A	gyrA		DAUD_RS00040	2439	812	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	10065	10949	+					pdxS		DAUD_RS00045	885		old_locus_tag=Daud_0009
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	10065	10949	+	WP_012301172.1	WP_012301172.1		pyridoxal 5'-phosphate synthase lyase subunit PdxS	pdxS		DAUD_RS00045	885	294	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	10949	11518	+					pdxT		DAUD_RS00050	570		old_locus_tag=Daud_0010
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	10949	11518	+	WP_012301173.1	WP_012301173.1		pyridoxal 5'-phosphate synthase glutaminase subunit PdxT	pdxT		DAUD_RS00050	570	189	
