Entry	Entry Name	Protein names	Gene Names	Organism	Length
A0A0B7P3V8	YP41B_YEAST	Transposon Ty4-P Gag-Pol polyprotein (TY4A-TY4B) (Transposon Ty4 TYA-TYB polyprotein) [Includes: Capsid protein (CA); Ty4 protease (PR) (EC 3.4.23.-); Integrase (IN); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4)]	TY4B-P YPLCTy4-1 POL YPL060C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1104
D6VTK4	STE2_YEAST	Pheromone alpha factor receptor	STE2 YFL026W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	431
O13297	CET1_YEAST	mRNA-capping enzyme subunit beta (EC 3.6.1.74) (mRNA 5'-phosphatase) (mRNA 5'-triphosphate monophosphatase)	CET1 YPL228W P1433	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	549
O13329	FOB1_YEAST	DNA replication fork-blocking protein FOB1	FOB1 HRM1 YDR110W YD9727.06	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	566
O13516	RS9A_YEAST	Small ribosomal subunit protein uS4A (40S ribosomal protein S9-A) (RP21) (S13) (YP28) (YS11)	RPS9A RPS13A YS11A YPL081W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	197
O13527	YA11B_YEAST	Truncated transposon Ty1-A Gag-Pol polyprotein (TY1B) (Transposon Ty1 TYB polyprotein) [Cleaved into: Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	TY1B-A YARCTy1-1 POL YAR009C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1196
O13535	YH11B_YEAST	Transposon Ty1-H Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	TY1B-H YHRCTy1-1 POL YHR214C-B	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1793
O13539	THP2_YEAST	THO complex subunit THP2	THP2 YHR167W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	261
O13547	CCW14_YEAST	Covalently-linked cell wall protein 14 (Inner cell wall protein)	CCW14 ICWP SSR1 YLR390W-A YLR391W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	238
O13563	RPN13_YEAST	26S proteasome regulatory subunit RPN13 (Proteasome non-ATPase subunit 13)	RPN13 DAQ1 YLR421C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	156
O14467	MBF1_YEAST	Multiprotein-bridging factor 1 (Suppressor of frameshift mutations protein 13)	MBF1 SUF13 YOR298C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	151
O60200	MDM35_YEAST	Mitochondrial distribution and morphology protein 35	MDM35 YKL053C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	86
O74700	TIM9_YEAST	Mitochondrial import inner membrane translocase subunit TIM9	TIM9 YEL020W-A YEL020BW	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	87
O94742	SEM1_YEAST	26S proteasome complex subunit SEM1	SEM1 DSH1 YDR363W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	89
P00044	CYC1_YEAST	Cytochrome c isoform 1 (Iso-1-cytochrome c) (Cytochrome c aerobic isoform)	CYC1 YJR048W J1653	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	109
P00127	QCR6_YEAST	Cytochrome b-c1 complex subunit 6, mitochondrial (Complex III subunit 6) (Complex III subunit VI) (Cytochrome c1 non-heme 17 kDa protein) (Mitochondrial hinge protein) (Ubiquinol-cytochrome c oxidoreductase subunit 6) (Ubiquinol-cytochrome c reductase 17 kDa protein)	QCR6 UCR6 YFR033C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	147
P00128	QCR7_YEAST	Cytochrome b-c1 complex subunit 7, mitochondrial (Complex III subunit 7) (Complex III subunit VII) (Ubiquinol-cytochrome c oxidoreductase subunit 7) (Ubiquinol-cytochrome c reductase 14 kDa protein)	QCR7 CRO1 UCR7 YDR529C D9719.32	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	127
P00163	CYB_YEAST	Cytochrome b (EC 7.1.1.8) (Complex III subunit 3) (Complex III subunit CYTB) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Cytochrome b-c1 complex subunit CYTB) (Ubiquinol-cytochrome c oxidoreductase complex cytochrome b subunit)	COB CYTB Q0105	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	385
P00175	CYB2_YEAST	L-lactate dehydrogenase (cytochrome) (EC 1.1.2.3) (Cytochrome b2) (Flavocytochrome b2) (FCB2) (L-lactate ferricytochrome c oxidoreductase) (L-LCR)	CYB2 YML054C YM9958.08C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	591
P00330	ADH1_YEAST	Alcohol dehydrogenase 1 (EC 1.1.1.1) (EC 1.1.1.54) (EC 1.1.1.78) (Alcohol dehydrogenase I) (ADHI) (NADH-dependent methylglyoxal reductase) (YADH-1)	ADH1 ADC1 YOL086C O0947	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	348
P00331	ADH2_YEAST	Alcohol dehydrogenase 2 (EC 1.1.1.1) (Alcohol dehydrogenase II) (ADHII) (YADH-2)	ADH2 ADR2 YMR303C YM9952.05C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	348
P00358	G3P2_YEAST	Glyceraldehyde-3-phosphate dehydrogenase 2 (GAPDH 2) (EC 1.2.1.12) (Triose-phosphate dehydrogenase 1)	TDH2 GPD2 YJR009C J1433	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	332
P00359	G3P3_YEAST	Glyceraldehyde-3-phosphate dehydrogenase 3 (GAPDH 3) (EC 1.2.1.12) (Triose-phosphate dehydrogenase 1)	TDH3 GPD3 YGR192C G7576	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	332
P00360	G3P1_YEAST	Glyceraldehyde-3-phosphate dehydrogenase 1 (GAPDH 1) (EC 1.2.1.12) (Triose-phosphate dehydrogenase 1)	TDH1 GPD1 SSS2 YJL052W J1154	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	332
P00401	COX1_YEAST	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide I)	COX1 OXI3 Q0045	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	534
P00410	COX2_YEAST	Cytochrome c oxidase subunit 2 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide II)	COX2 OXI1 Q0250	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	251
P00420	COX3_YEAST	Cytochrome c oxidase subunit 3 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide III)	COX3 OXI2 Q0275	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	269
P00424	COX5A_YEAST	Cytochrome c oxidase subunit 5A, mitochondrial (Cytochrome c oxidase polypeptide Va)	COX5A YNL052W N2474 YNL2474W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	153
P00431	CCPR_YEAST	Cytochrome c peroxidase, mitochondrial (CCP) (EC 1.11.1.5)	CCP1 CCP CPO YKR066C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	361
P00445	SODC_YEAST	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)	SOD1 YJR104C J1968	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	154
P00546	CDK1_YEAST	Cyclin-dependent kinase 1 (CDK1) (EC 2.7.11.22) (Cell division control protein 28) (Cell division protein kinase 1)	CDC28 CDK1 HSL5 SRM5 YBR160W YBR1211	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	298
