Entry	Entry Name	Protein names	Gene Names	Organism	Length
A5A616	MGTS_ECOLI	Small protein MgtS	mgtS yneM b4599 JW1527.1	Escherichia coli (strain K12)	31
O32583	THIS_ECOLI	Sulfur carrier protein ThiS (Thiamine biosynthesis protein ThiS)	thiS thiG1 b4407 JW3955	Escherichia coli (strain K12)	66
P00350	6PGD_ECOLI	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	gnd b2029 JW2011	Escherichia coli (strain K12)	468
P00363	FRDA_ECOLI	Fumarate reductase flavoprotein subunit (EC 1.3.5.1) (Quinol-fumarate reductase flavoprotein subunit) (QFR flavoprotein subunit)	frdA b4154 JW4115	Escherichia coli (strain K12)	602
P00370	DHE4_ECOLI	NADP-specific glutamate dehydrogenase (NADP-GDH) (EC 1.4.1.4)	gdhA b1761 JW1750	Escherichia coli (strain K12)	447
P00393	NDH_ECOLI	Type II NADH:quinone oxidoreductase (EC 1.6.5.9) (Cupric reductase) (EC 1.16.1.-) (NADH dehydrogenase-2) (NADH dh II) (NDH-2) (NADH-quinone reductase) (NQR) (NADH:ubiquinone oxidoreductase) (Respiratory NADH dehydrogenase)	ndh b1109 JW1095	Escherichia coli (strain K12)	434
P00448	SODM_ECOLI	Superoxide dismutase [Mn] (EC 1.15.1.1) (MnSOD)	sodA b3908 JW3879	Escherichia coli (strain K12)	206
P00452	RIR1_ECOLI	Ribonucleoside-diphosphate reductase 1 subunit alpha (EC 1.17.4.1) (Protein B1) (Ribonucleoside-diphosphate reductase 1 R1 subunit) (Ribonucleotide reductase 1)	nrdA dnaF b2234 JW2228	Escherichia coli (strain K12)	761
P00490	PHSM_ECOLI	Maltodextrin phosphorylase (EC 2.4.1.1)	malP b3417 JW5689	Escherichia coli (strain K12)	797
P00509	AAT_ECOLI	Aspartate aminotransferase (AspAT) (EC 2.6.1.1) (Transaminase A)	aspC b0928 JW0911	Escherichia coli (strain K12)	396
P00550	PTM3C_ECOLI	PTS system mannitol-specific EIICBA component (EIICBA-Mtl) (EII-Mtl) [Includes: Mannitol permease IIC component (PTS system mannitol-specific EIIC component); Mannitol-specific phosphotransferase enzyme IIB component (EC 2.7.1.197) (PTS system mannitol-specific EIIB component); Mannitol-specific phosphotransferase enzyme IIA component (PTS system mannitol-specific EIIA component)]	mtlA b3599 JW3573	Escherichia coli (strain K12)	637
